geneID,pathway,species,keggID,include,ensemblID
ABCA13,ABC transporters,Homo sapiens,hsa02010,TRUE,ENSG00000179869
ABCA2,Lysosome,Homo sapiens,hsa04142,TRUE,ENSG00000107331
ABCA2,ABC transporters,Homo sapiens,hsa02010,TRUE,ENSG00000107331
ABCA3,ABC transporters,Homo sapiens,hsa02010,TRUE,ENSG00000167972
ABCA4,ABC transporters,Homo sapiens,hsa02010,TRUE,ENSG00000198691
ABCA5,ABC transporters,Homo sapiens,hsa02010,TRUE,ENSG00000154265
ABCA6,ABC transporters,Homo sapiens,hsa02010,TRUE,ENSG00000154262
ABCA7,ABC transporters,Homo sapiens,hsa02010,TRUE,ENSG00000064687
ABCA8,ABC transporters,Homo sapiens,hsa02010,TRUE,ENSG00000141338
ABCA9,ABC transporters,Homo sapiens,hsa02010,TRUE,ENSG00000154258
ABCB1,Bile secretion,Homo sapiens,hsa04976,TRUE,ENSG00000085563
ABCB1,ABC transporters,Homo sapiens,hsa02010,TRUE,ENSG00000085563
ABCB10,ABC transporters,Homo sapiens,hsa02010,TRUE,ENSG00000135776
ABCB11,Bile secretion,Homo sapiens,hsa04976,TRUE,ENSG00000073734
ABCB11,ABC transporters,Homo sapiens,hsa02010,TRUE,ENSG00000073734
ABCB4,Bile secretion,Homo sapiens,hsa04976,TRUE,ENSG00000005471
ABCB4,ABC transporters,Homo sapiens,hsa02010,TRUE,ENSG00000005471
ABCB5,ABC transporters,Homo sapiens,hsa02010,TRUE,ENSG00000004846
ABCB6,ABC transporters,Homo sapiens,hsa02010,TRUE,ENSG00000115657
ABCB7,ABC transporters,Homo sapiens,hsa02010,TRUE,ENSG00000131269
ABCB8,ABC transporters,Homo sapiens,hsa02010,TRUE,ENSG00000197150
ABCB9,Lysosome,Homo sapiens,hsa04142,TRUE,ENSG00000150967
ABCB9,ABC transporters,Homo sapiens,hsa02010,TRUE,ENSG00000150967
ABCC1,Sphingolipid signaling pathway,Homo sapiens,hsa04071,TRUE,ENSG00000103222
ABCC1,Vitamin digestion and absorption,Homo sapiens,hsa04977,TRUE,ENSG00000103222
ABCC1,ABC transporters,Homo sapiens,hsa02010,TRUE,ENSG00000103222
ABCC10,ABC transporters,Homo sapiens,hsa02010,TRUE,ENSG00000124574
ABCC11,ABC transporters,Homo sapiens,hsa02010,TRUE,ENSG00000121270
ABCC12,ABC transporters,Homo sapiens,hsa02010,TRUE,ENSG00000140798
ABCC2,Bile secretion,Homo sapiens,hsa04976,TRUE,ENSG00000023839
ABCC2,ABC transporters,Homo sapiens,hsa02010,TRUE,ENSG00000023839
ABCC3,Bile secretion,Homo sapiens,hsa04976,TRUE,ENSG00000108846
ABCC3,ABC transporters,Homo sapiens,hsa02010,TRUE,ENSG00000108846
ABCC4,cAMP signaling pathway,Homo sapiens,hsa04024,TRUE,ENSG00000125257
ABCC4,Bile secretion,Homo sapiens,hsa04976,TRUE,ENSG00000125257
ABCC4,ABC transporters,Homo sapiens,hsa02010,TRUE,ENSG00000125257
ABCC5,ABC transporters,Homo sapiens,hsa02010,TRUE,ENSG00000114770
ABCC6,ABC transporters,Homo sapiens,hsa02010,TRUE,ENSG00000091262
ABCC8,Insulin secretion,Homo sapiens,hsa04911,TRUE,ENSG00000006071
ABCC8,ABC transporters,Homo sapiens,hsa02010,TRUE,ENSG00000006071
ABCC9,ABC transporters,Homo sapiens,hsa02010,TRUE,ENSG00000069431
ABCD1,ABC transporters,Homo sapiens,hsa02010,TRUE,ENSG00000101986
ABCD1,Peroxisome,Homo sapiens,hsa04146,TRUE,ENSG00000101986
ABCD2,ABC transporters,Homo sapiens,hsa02010,TRUE,ENSG00000173208
ABCD2,Peroxisome,Homo sapiens,hsa04146,TRUE,ENSG00000173208
ABCD3,ABC transporters,Homo sapiens,hsa02010,TRUE,ENSG00000117528
ABCD3,Peroxisome,Homo sapiens,hsa04146,TRUE,ENSG00000117528
ABCD4,ABC transporters,Homo sapiens,hsa02010,TRUE,ENSG00000119688
ABCD4,Peroxisome,Homo sapiens,hsa04146,TRUE,ENSG00000119688
ABCG1,ABC transporters,Homo sapiens,hsa02010,TRUE,ENSG00000160179
ABCG2,Bile secretion,Homo sapiens,hsa04976,TRUE,ENSG00000118777
ABCG2,ABC transporters,Homo sapiens,hsa02010,TRUE,ENSG00000118777
ABCG4,ABC transporters,Homo sapiens,hsa02010,TRUE,ENSG00000172350
ABCG5,Bile secretion,Homo sapiens,hsa04976,TRUE,ENSG00000138075
ABCG5,Fat digestion and absorption,Homo sapiens,hsa04975,TRUE,ENSG00000138075
ABCG5,ABC transporters,Homo sapiens,hsa02010,TRUE,ENSG00000138075
ABCG8,Bile secretion,Homo sapiens,hsa04976,TRUE,ENSG00000143921
ABCG8,Fat digestion and absorption,Homo sapiens,hsa04975,TRUE,ENSG00000143921
ABCG8,ABC transporters,Homo sapiens,hsa02010,TRUE,ENSG00000143921
ABHD5,Regulation of lipolysis in adipocytes,Homo sapiens,hsa04923,TRUE,ENSG00000011198
ABHD6,Retrograde endocannabinoid signaling,Homo sapiens,hsa04723,TRUE,ENSG00000163686
ABI2,Regulation of actin cytoskeleton,Homo sapiens,hsa04810,TRUE,ENSG00000138443
ABL1,ErbB signaling pathway,Homo sapiens,hsa04012,TRUE,ENSG00000097007
ABL1,Neurotrophin signaling pathway,Homo sapiens,hsa04722,TRUE,ENSG00000097007
ABL1,Ras signaling pathway,Homo sapiens,hsa04014,TRUE,ENSG00000097007
ABL1,Cell cycle,Homo sapiens,hsa04110,TRUE,ENSG00000097007
ABL1,Axon guidance,Homo sapiens,hsa04360,TRUE,ENSG00000097007
ABL2,ErbB signaling pathway,Homo sapiens,hsa04012,TRUE,ENSG00000143322
ABL2,Ras signaling pathway,Homo sapiens,hsa04014,TRUE,ENSG00000143322
ABLIM1,Axon guidance,Homo sapiens,hsa04360,TRUE,ENSG00000099204
ABLIM2,Axon guidance,Homo sapiens,hsa04360,TRUE,ENSG00000163995
ABLIM3,Axon guidance,Homo sapiens,hsa04360,TRUE,ENSG00000173210
ABO,Glycosphingolipid biosynthesis - lacto and neolacto series,Homo sapiens,hsa00601,TRUE,ENSG00000175164
ABO,Metabolic pathways,Homo sapiens,hsa01100,TRUE,ENSG00000175164
ACAA1,Metabolic pathways,Homo sapiens,hsa01100,TRUE,ENSG00000060971
ACAA1,alpha-Linolenic acid metabolism,Homo sapiens,hsa00592,TRUE,ENSG00000060971
ACAA1,"Valine, leucine and isoleucine degradation",Homo sapiens,hsa00280,TRUE,ENSG00000060971
ACAA1,Biosynthesis of unsaturated fatty acids,Homo sapiens,hsa01040,TRUE,ENSG00000060971
ACAA1,Fatty acid metabolism,Homo sapiens,hsa01212,TRUE,ENSG00000060971
ACAA1,Fatty acid degradation,Homo sapiens,hsa00071,TRUE,ENSG00000060971
ACAA1,PPAR signaling pathway,Homo sapiens,hsa03320,TRUE,ENSG00000060971
ACAA1,Peroxisome,Homo sapiens,hsa04146,TRUE,ENSG00000060971
ACAA2,Metabolic pathways,Homo sapiens,hsa01100,TRUE,ENSG00000167315
ACAA2,"Valine, leucine and isoleucine degradation",Homo sapiens,hsa00280,TRUE,ENSG00000167315
ACAA2,Fatty acid elongation,Homo sapiens,hsa00062,TRUE,ENSG00000167315
ACAA2,Fatty acid metabolism,Homo sapiens,hsa01212,TRUE,ENSG00000167315
ACAA2,Fatty acid degradation,Homo sapiens,hsa00071,TRUE,ENSG00000167315
ACACA,Glucagon signaling pathway,Homo sapiens,hsa04922,TRUE,ENSG00000278540
ACACA,Insulin signaling pathway,Homo sapiens,hsa04910,TRUE,ENSG00000278540
ACACA,AMPK signaling pathway,Homo sapiens,hsa04152,TRUE,ENSG00000278540
ACACA,Metabolic pathways,Homo sapiens,hsa01100,TRUE,ENSG00000278540
ACACA,Pyruvate metabolism,Homo sapiens,hsa00620,TRUE,ENSG00000278540
ACACA,Propanoate metabolism,Homo sapiens,hsa00640,TRUE,ENSG00000278540
ACACA,Fatty acid metabolism,Homo sapiens,hsa01212,TRUE,ENSG00000278540
ACACA,Fatty acid biosynthesis,Homo sapiens,hsa00061,TRUE,ENSG00000278540
ACACB,Glucagon signaling pathway,Homo sapiens,hsa04922,TRUE,ENSG00000076555
ACACB,Adipocytokine signaling pathway,Homo sapiens,hsa04920,TRUE,ENSG00000076555
ACACB,Insulin signaling pathway,Homo sapiens,hsa04910,TRUE,ENSG00000076555
ACACB,AMPK signaling pathway,Homo sapiens,hsa04152,TRUE,ENSG00000076555
ACACB,Metabolic pathways,Homo sapiens,hsa01100,TRUE,ENSG00000076555
ACACB,Pyruvate metabolism,Homo sapiens,hsa00620,TRUE,ENSG00000076555
ACACB,Propanoate metabolism,Homo sapiens,hsa00640,TRUE,ENSG00000076555
ACACB,Fatty acid biosynthesis,Homo sapiens,hsa00061,TRUE,ENSG00000076555
ACAD8,Metabolic pathways,Homo sapiens,hsa01100,TRUE,ENSG00000151498
ACAD8,"Valine, leucine and isoleucine degradation",Homo sapiens,hsa00280,TRUE,ENSG00000151498
ACADL,Metabolic pathways,Homo sapiens,hsa01100,TRUE,ENSG00000115361
ACADL,Fatty acid metabolism,Homo sapiens,hsa01212,TRUE,ENSG00000115361
ACADL,Fatty acid degradation,Homo sapiens,hsa00071,TRUE,ENSG00000115361
ACADL,PPAR signaling pathway,Homo sapiens,hsa03320,TRUE,ENSG00000115361
ACADM,Metabolic pathways,Homo sapiens,hsa01100,TRUE,ENSG00000117054
ACADM,Carbon metabolism,Homo sapiens,hsa01200,TRUE,ENSG00000117054
ACADM,"Valine, leucine and isoleucine degradation",Homo sapiens,hsa00280,TRUE,ENSG00000117054
ACADM,Propanoate metabolism,Homo sapiens,hsa00640,TRUE,ENSG00000117054
ACADM,beta-Alanine metabolism,Homo sapiens,hsa00410,TRUE,ENSG00000117054
ACADM,Fatty acid metabolism,Homo sapiens,hsa01212,TRUE,ENSG00000117054
ACADM,Fatty acid degradation,Homo sapiens,hsa00071,TRUE,ENSG00000117054
ACADM,PPAR signaling pathway,Homo sapiens,hsa03320,TRUE,ENSG00000117054
ACADS,Metabolic pathways,Homo sapiens,hsa01100,TRUE,ENSG00000122971
ACADS,Carbon metabolism,Homo sapiens,hsa01200,TRUE,ENSG00000122971
ACADS,Butanoate metabolism,Homo sapiens,hsa00650,TRUE,ENSG00000122971
ACADS,"Valine, leucine and isoleucine degradation",Homo sapiens,hsa00280,TRUE,ENSG00000122971
ACADS,Fatty acid metabolism,Homo sapiens,hsa01212,TRUE,ENSG00000122971
ACADS,Fatty acid degradation,Homo sapiens,hsa00071,TRUE,ENSG00000122971
ACADSB,Metabolic pathways,Homo sapiens,hsa01100,TRUE,ENSG00000196177
ACADSB,"Valine, leucine and isoleucine degradation",Homo sapiens,hsa00280,TRUE,ENSG00000196177
ACADSB,Fatty acid metabolism,Homo sapiens,hsa01212,TRUE,ENSG00000196177
ACADSB,Fatty acid degradation,Homo sapiens,hsa00071,TRUE,ENSG00000196177
ACADVL,Metabolic pathways,Homo sapiens,hsa01100,TRUE,ENSG00000072778
ACADVL,Fatty acid metabolism,Homo sapiens,hsa01212,TRUE,ENSG00000072778
ACADVL,Fatty acid degradation,Homo sapiens,hsa00071,TRUE,ENSG00000072778
ACAP1,Endocytosis,Homo sapiens,hsa04144,TRUE,ENSG00000072818
ACAP2,Endocytosis,Homo sapiens,hsa04144,TRUE,ENSG00000114331
ACAP3,Endocytosis,Homo sapiens,hsa04144,TRUE,ENSG00000131584
ACAT1,Metabolic pathways,Homo sapiens,hsa01100,TRUE,ENSG00000075239
ACAT1,Carbon metabolism,Homo sapiens,hsa01200,TRUE,ENSG00000075239
ACAT1,Pyruvate metabolism,Homo sapiens,hsa00620,TRUE,ENSG00000075239
ACAT1,Glyoxylate and dicarboxylate metabolism,Homo sapiens,hsa00630,TRUE,ENSG00000075239
ACAT1,Terpenoid backbone biosynthesis,Homo sapiens,hsa00900,TRUE,ENSG00000075239
ACAT1,Synthesis and degradation of ketone bodies,Homo sapiens,hsa00072,TRUE,ENSG00000075239
ACAT1,Butanoate metabolism,Homo sapiens,hsa00650,TRUE,ENSG00000075239
ACAT1,"Valine, leucine and isoleucine degradation",Homo sapiens,hsa00280,TRUE,ENSG00000075239
ACAT1,Propanoate metabolism,Homo sapiens,hsa00640,TRUE,ENSG00000075239
ACAT1,Tryptophan metabolism,Homo sapiens,hsa00380,TRUE,ENSG00000075239
ACAT1,Lysine degradation,Homo sapiens,hsa00310,TRUE,ENSG00000075239
ACAT1,Fatty acid metabolism,Homo sapiens,hsa01212,TRUE,ENSG00000075239
ACAT1,Fatty acid degradation,Homo sapiens,hsa00071,TRUE,ENSG00000075239
ACAT2,Metabolic pathways,Homo sapiens,hsa01100,TRUE,ENSG00000120437
ACAT2,Fat digestion and absorption,Homo sapiens,hsa04975,TRUE,ENSG00000120437
ACAT2,Carbon metabolism,Homo sapiens,hsa01200,TRUE,ENSG00000120437
ACAT2,Pyruvate metabolism,Homo sapiens,hsa00620,TRUE,ENSG00000120437
ACAT2,Glyoxylate and dicarboxylate metabolism,Homo sapiens,hsa00630,TRUE,ENSG00000120437
ACAT2,Terpenoid backbone biosynthesis,Homo sapiens,hsa00900,TRUE,ENSG00000120437
ACAT2,Synthesis and degradation of ketone bodies,Homo sapiens,hsa00072,TRUE,ENSG00000120437
ACAT2,Butanoate metabolism,Homo sapiens,hsa00650,TRUE,ENSG00000120437
ACAT2,"Valine, leucine and isoleucine degradation",Homo sapiens,hsa00280,TRUE,ENSG00000120437
ACAT2,Propanoate metabolism,Homo sapiens,hsa00640,TRUE,ENSG00000120437
ACAT2,Tryptophan metabolism,Homo sapiens,hsa00380,TRUE,ENSG00000120437
ACAT2,Lysine degradation,Homo sapiens,hsa00310,TRUE,ENSG00000120437
ACAT2,Fatty acid metabolism,Homo sapiens,hsa01212,TRUE,ENSG00000120437
ACAT2,Fatty acid degradation,Homo sapiens,hsa00071,TRUE,ENSG00000120437
ACE,Renin secretion,Homo sapiens,hsa04924,TRUE,ENSG00000159640
ACE,Renin-angiotensin system,Homo sapiens,hsa04614,TRUE,ENSG00000159640
ACE2,Protein digestion and absorption,Homo sapiens,hsa04974,TRUE,ENSG00000130234
ACE2,Renin-angiotensin system,Homo sapiens,hsa04614,TRUE,ENSG00000130234
ACER1,Sphingolipid metabolism,Homo sapiens,hsa00600,TRUE,ENSG00000167769
ACER1,Sphingolipid signaling pathway,Homo sapiens,hsa04071,TRUE,ENSG00000167769
ACER1,Metabolic pathways,Homo sapiens,hsa01100,TRUE,ENSG00000167769
ACER2,Sphingolipid metabolism,Homo sapiens,hsa00600,TRUE,ENSG00000177076
ACER2,Sphingolipid signaling pathway,Homo sapiens,hsa04071,TRUE,ENSG00000177076
ACER2,Metabolic pathways,Homo sapiens,hsa01100,TRUE,ENSG00000177076
ACER3,Sphingolipid metabolism,Homo sapiens,hsa00600,TRUE,ENSG00000078124
ACHE,Cholinergic synapse,Homo sapiens,hsa04725,TRUE,ENSG00000087085
ACHE,Glycerophospholipid metabolism,Homo sapiens,hsa00564,TRUE,ENSG00000087085
ACIN1,Spliceosome,Homo sapiens,hsa03040,TRUE,ENSG00000100813
ACIN1,mRNA surveillance pathway,Homo sapiens,hsa03015,TRUE,ENSG00000100813
ACIN1,RNA transport,Homo sapiens,hsa03013,TRUE,ENSG00000100813
ACKR3,Cytokine-cytokine receptor interaction,Homo sapiens,hsa04060,TRUE,ENSG00000144476
ACLY,Metabolic pathways,Homo sapiens,hsa01100,TRUE,ENSG00000131473
ACLY,Citrate cycle (TCA cycle),Homo sapiens,hsa00020,TRUE,ENSG00000131473
ACMSD,Metabolic pathways,Homo sapiens,hsa01100,TRUE,ENSG00000153086
ACMSD,Tryptophan metabolism,Homo sapiens,hsa00380,TRUE,ENSG00000153086
ACO1,Metabolic pathways,Homo sapiens,hsa01100,TRUE,ENSG00000122729
ACO1,Carbon metabolism,Homo sapiens,hsa01200,TRUE,ENSG00000122729
ACO1,Biosynthesis of amino acids,Homo sapiens,hsa01230,TRUE,ENSG00000122729
ACO1,2-Oxocarboxylic acid metabolism,Homo sapiens,hsa01210,TRUE,ENSG00000122729
ACO1,Citrate cycle (TCA cycle),Homo sapiens,hsa00020,TRUE,ENSG00000122729
ACO1,Glyoxylate and dicarboxylate metabolism,Homo sapiens,hsa00630,TRUE,ENSG00000122729
ACO2,Metabolic pathways,Homo sapiens,hsa01100,TRUE,ENSG00000100412
ACO2,Carbon metabolism,Homo sapiens,hsa01200,TRUE,ENSG00000100412
ACO2,Biosynthesis of amino acids,Homo sapiens,hsa01230,TRUE,ENSG00000100412
ACO2,2-Oxocarboxylic acid metabolism,Homo sapiens,hsa01210,TRUE,ENSG00000100412
ACO2,Citrate cycle (TCA cycle),Homo sapiens,hsa00020,TRUE,ENSG00000100412
ACO2,Glyoxylate and dicarboxylate metabolism,Homo sapiens,hsa00630,TRUE,ENSG00000100412
ACOT1,Metabolic pathways,Homo sapiens,hsa01100,TRUE,ENSG00000184227
ACOT1,Fatty acid elongation,Homo sapiens,hsa00062,TRUE,ENSG00000184227
ACOT1,Biosynthesis of unsaturated fatty acids,Homo sapiens,hsa01040,TRUE,ENSG00000184227
ACOT12,Pyruvate metabolism,Homo sapiens,hsa00620,TRUE,ENSG00000172497
ACOT2,Ovarian steroidogenesis,Homo sapiens,hsa04913,TRUE,ENSG00000119673
ACOT2,Metabolic pathways,Homo sapiens,hsa01100,TRUE,ENSG00000119673
ACOT2,Fatty acid elongation,Homo sapiens,hsa00062,TRUE,ENSG00000119673
ACOT2,Biosynthesis of unsaturated fatty acids,Homo sapiens,hsa01040,TRUE,ENSG00000119673
ACOT4,Metabolic pathways,Homo sapiens,hsa01100,TRUE,ENSG00000177465
ACOT4,Fatty acid elongation,Homo sapiens,hsa00062,TRUE,ENSG00000177465
ACOT4,Biosynthesis of unsaturated fatty acids,Homo sapiens,hsa01040,TRUE,ENSG00000177465
ACOT7,Fatty acid elongation,Homo sapiens,hsa00062,TRUE,ENSG00000097021
ACOT7,Biosynthesis of unsaturated fatty acids,Homo sapiens,hsa01040,TRUE,ENSG00000097021
ACOT8,Metabolic pathways,Homo sapiens,hsa01100,TRUE,ENSG00000101473
ACOT8,Primary bile acid biosynthesis,Homo sapiens,hsa00120,TRUE,ENSG00000101473
ACOT8,Peroxisome,Homo sapiens,hsa04146,TRUE,ENSG00000101473
ACOX1,cAMP signaling pathway,Homo sapiens,hsa04024,TRUE,ENSG00000161533
ACOX1,Metabolic pathways,Homo sapiens,hsa01100,TRUE,ENSG00000161533
ACOX1,alpha-Linolenic acid metabolism,Homo sapiens,hsa00592,TRUE,ENSG00000161533
ACOX1,Biosynthesis of unsaturated fatty acids,Homo sapiens,hsa01040,TRUE,ENSG00000161533
ACOX1,Fatty acid metabolism,Homo sapiens,hsa01212,TRUE,ENSG00000161533
ACOX1,Fatty acid degradation,Homo sapiens,hsa00071,TRUE,ENSG00000161533
ACOX1,PPAR signaling pathway,Homo sapiens,hsa03320,TRUE,ENSG00000161533
ACOX1,Peroxisome,Homo sapiens,hsa04146,TRUE,ENSG00000161533
ACOX2,Metabolic pathways,Homo sapiens,hsa01100,TRUE,ENSG00000168306
ACOX2,PPAR signaling pathway,Homo sapiens,hsa03320,TRUE,ENSG00000168306
ACOX2,Primary bile acid biosynthesis,Homo sapiens,hsa00120,TRUE,ENSG00000168306
ACOX2,Peroxisome,Homo sapiens,hsa04146,TRUE,ENSG00000168306
ACOX3,cAMP signaling pathway,Homo sapiens,hsa04024,TRUE,ENSG00000087008
ACOX3,Metabolic pathways,Homo sapiens,hsa01100,TRUE,ENSG00000087008
ACOX3,alpha-Linolenic acid metabolism,Homo sapiens,hsa00592,TRUE,ENSG00000087008
ACOX3,Biosynthesis of unsaturated fatty acids,Homo sapiens,hsa01040,TRUE,ENSG00000087008
ACOX3,Fatty acid metabolism,Homo sapiens,hsa01212,TRUE,ENSG00000087008
ACOX3,Fatty acid degradation,Homo sapiens,hsa00071,TRUE,ENSG00000087008
ACOX3,PPAR signaling pathway,Homo sapiens,hsa03320,TRUE,ENSG00000087008
ACOX3,Peroxisome,Homo sapiens,hsa04146,TRUE,ENSG00000087008
ACP1,Adherens junction,Homo sapiens,hsa04520,TRUE,ENSG00000143727
ACP2,Lysosome,Homo sapiens,hsa04142,TRUE,ENSG00000134575
ACP5,Lysosome,Homo sapiens,hsa04142,TRUE,ENSG00000102575
ACP5,Osteoclast differentiation,Homo sapiens,hsa04380,TRUE,ENSG00000102575
ACSBG1,Adipocytokine signaling pathway,Homo sapiens,hsa04920,TRUE,ENSG00000103740
ACSBG1,Metabolic pathways,Homo sapiens,hsa01100,TRUE,ENSG00000103740
ACSBG1,Fatty acid metabolism,Homo sapiens,hsa01212,TRUE,ENSG00000103740
ACSBG1,Fatty acid degradation,Homo sapiens,hsa00071,TRUE,ENSG00000103740
ACSBG1,Fatty acid biosynthesis,Homo sapiens,hsa00061,TRUE,ENSG00000103740
ACSBG1,PPAR signaling pathway,Homo sapiens,hsa03320,TRUE,ENSG00000103740
ACSBG2,Adipocytokine signaling pathway,Homo sapiens,hsa04920,TRUE,ENSG00000130377
ACSBG2,Metabolic pathways,Homo sapiens,hsa01100,TRUE,ENSG00000130377
ACSBG2,Fatty acid metabolism,Homo sapiens,hsa01212,TRUE,ENSG00000130377
ACSBG2,Fatty acid degradation,Homo sapiens,hsa00071,TRUE,ENSG00000130377
ACSBG2,Fatty acid biosynthesis,Homo sapiens,hsa00061,TRUE,ENSG00000130377
ACSBG2,PPAR signaling pathway,Homo sapiens,hsa03320,TRUE,ENSG00000130377
ACSF3,"Valine, leucine and isoleucine degradation",Homo sapiens,hsa00280,TRUE,ENSG00000176715
ACSL1,Adipocytokine signaling pathway,Homo sapiens,hsa04920,TRUE,ENSG00000151726
ACSL1,Metabolic pathways,Homo sapiens,hsa01100,TRUE,ENSG00000151726
ACSL1,Fatty acid metabolism,Homo sapiens,hsa01212,TRUE,ENSG00000151726
ACSL1,Fatty acid degradation,Homo sapiens,hsa00071,TRUE,ENSG00000151726
ACSL1,Fatty acid biosynthesis,Homo sapiens,hsa00061,TRUE,ENSG00000151726
ACSL1,PPAR signaling pathway,Homo sapiens,hsa03320,TRUE,ENSG00000151726
ACSL1,Peroxisome,Homo sapiens,hsa04146,TRUE,ENSG00000151726
ACSL3,Adipocytokine signaling pathway,Homo sapiens,hsa04920,TRUE,ENSG00000123983
ACSL3,Metabolic pathways,Homo sapiens,hsa01100,TRUE,ENSG00000123983
ACSL3,Fatty acid metabolism,Homo sapiens,hsa01212,TRUE,ENSG00000123983
ACSL3,Fatty acid degradation,Homo sapiens,hsa00071,TRUE,ENSG00000123983
ACSL3,Fatty acid biosynthesis,Homo sapiens,hsa00061,TRUE,ENSG00000123983
ACSL3,PPAR signaling pathway,Homo sapiens,hsa03320,TRUE,ENSG00000123983
ACSL3,Peroxisome,Homo sapiens,hsa04146,TRUE,ENSG00000123983
ACSL4,Adipocytokine signaling pathway,Homo sapiens,hsa04920,TRUE,ENSG00000068366
ACSL4,Metabolic pathways,Homo sapiens,hsa01100,TRUE,ENSG00000068366
ACSL4,Fatty acid metabolism,Homo sapiens,hsa01212,TRUE,ENSG00000068366
ACSL4,Fatty acid degradation,Homo sapiens,hsa00071,TRUE,ENSG00000068366
ACSL4,Fatty acid biosynthesis,Homo sapiens,hsa00061,TRUE,ENSG00000068366
ACSL4,PPAR signaling pathway,Homo sapiens,hsa03320,TRUE,ENSG00000068366
ACSL4,Peroxisome,Homo sapiens,hsa04146,TRUE,ENSG00000068366
ACSL5,Adipocytokine signaling pathway,Homo sapiens,hsa04920,TRUE,ENSG00000197142
ACSL5,Metabolic pathways,Homo sapiens,hsa01100,TRUE,ENSG00000197142
ACSL5,Fatty acid metabolism,Homo sapiens,hsa01212,TRUE,ENSG00000197142
ACSL5,Fatty acid degradation,Homo sapiens,hsa00071,TRUE,ENSG00000197142
ACSL5,Fatty acid biosynthesis,Homo sapiens,hsa00061,TRUE,ENSG00000197142
ACSL5,PPAR signaling pathway,Homo sapiens,hsa03320,TRUE,ENSG00000197142
ACSL5,Peroxisome,Homo sapiens,hsa04146,TRUE,ENSG00000197142
ACSL6,Adipocytokine signaling pathway,Homo sapiens,hsa04920,TRUE,ENSG00000164398
ACSL6,Metabolic pathways,Homo sapiens,hsa01100,TRUE,ENSG00000164398
ACSL6,Fatty acid metabolism,Homo sapiens,hsa01212,TRUE,ENSG00000164398
ACSL6,Fatty acid degradation,Homo sapiens,hsa00071,TRUE,ENSG00000164398
ACSL6,Fatty acid biosynthesis,Homo sapiens,hsa00061,TRUE,ENSG00000164398
ACSL6,PPAR signaling pathway,Homo sapiens,hsa03320,TRUE,ENSG00000164398
ACSL6,Peroxisome,Homo sapiens,hsa04146,TRUE,ENSG00000164398
ACSM1,Metabolic pathways,Homo sapiens,hsa01100,TRUE,ENSG00000166743
ACSM1,Butanoate metabolism,Homo sapiens,hsa00650,TRUE,ENSG00000166743
ACSM2A,Metabolic pathways,Homo sapiens,hsa01100,TRUE,ENSG00000183747
